datetime,open,high,low,close,volume,trades,taker_buy,taker_sell,RSI,ATR
2020-04-14,156.38,161.83,155.07,158.43,1342786.247,297080,690112.758,652673.489,66.61091096242922,11.450000000000003
2020-04-15,158.42,161.32,151.9,152.64,1352926.571,292804,688291.692,664634.879,60.58122205663187,11.483571428571432
2020-04-16,152.64,174.92,148.07,172.27,3073088.701,630949,1667614.256,1405474.4449999998,66.39491794600316,12.332142857142859
2020-04-17,172.31,174.88,168.21,170.56,1341267.776,308154,662022.853,679244.9230000001,65.26173379123738,12.158571428571431
2020-04-18,170.56,189.68,170.28,187.48,2159964.294,437965,1144658.728,1015305.5660000003,69.71511522409725,13.019285714285717
2020-04-19,187.52,188.3,176.27,179.97,2326412.534,427548,1108607.873,1217804.661,66.07050730868443,13.52714285714286
2020-04-20,179.96,186.47,166.6,170.19,3452651.911,671337,1676777.403,1775874.508,49.50779327317473,12.840714285714286
2020-04-21,170.19,174.63,167.92,170.66,2195445.346,464362,1103539.252,1091906.0939999998,53.34281650071122,12.317857142857145
2020-04-22,170.66,183.98,169.8,182.63,2433000.659,451332,1276651.569,1156349.09,54.983108108108105,12.542142857142858
2020-04-23,182.63,194.4,178.0,185.53,3351092.377,618026,1698737.419,1652354.9579999999,58.557886888912556,13.102857142857143
2020-04-24,185.54,189.77,184.49,187.65,1865428.754,388552,907062.139,958366.615,67.78252611585944,12.187142857142858
2020-04-25,187.67,198.53,185.7,194.25,2370712.476,454073,1186523.724,1184188.7519999999,69.95793668363957,12.570000000000002
2020-04-26,194.22,199.99,192.27,197.46,2056340.656,382181,1032768.026,1023572.63,70.82347882175875,12.403571428571428
2020-04-27,197.46,199.0,189.51,196.37,2321318.544,427019,1159571.77,1161746.7740000002,71.79598953792501,12.400714285714287
2020-04-28,196.39,197.72,192.28,196.31,1903267.47,334612,958974.317,944293.1529999999,71.10071301247771,12.30642857142857
2020-04-29,196.34,219.5,196.31,215.5,3776173.452,689336,1943728.88,1832444.5720000002,80.46723536254362,13.290000000000001
2020-04-30,215.5,227.5,201.9,206.22,4371759.191,878149,2108115.169,2263644.0219999994,68.2900549509751,13.200714285714286
2020-05-01,206.21,217.49,206.12,212.22,1902796.913,486182,959961.269,942835.644,71.45211122554068,13.536428571428573
2020-05-02,212.21,215.63,210.55,213.99,1246430.868,376623,633092.805,613338.063,66.17449664429532,12.513571428571428
2020-05-03,213.99,219.84,205.0,209.95,1688070.223,415590,802533.224,885536.999,69.10040774719673,12.714285714285714
2020-05-04,209.94,210.83,195.1,206.73,2313604.876,538466,1148443.358,1165161.5180000002,75.4032258064516,12.418571428571429
2020-05-05,206.69,212.02,201.14,205.39,1814876.244,478967,890705.326,924170.918,73.85629894216237,12.716428571428574
2020-05-06,205.36,211.13,198.04,199.06,1868966.306,440463,908288.701,960677.6050000001,62.23380491437081,12.638571428571433
2020-05-07,199.09,215.63,196.14,212.25,2470908.382,593638,1254017.167,1216891.2150000003,67.25206611570246,12.859285714285718
2020-05-08,212.25,216.95,207.01,211.47,1698296.769,440233,815387.482,882909.2870000001,65.65045992115637,13.19214285714286
2020-05-09,211.47,214.81,208.3,210.31,1444064.449,388625,680126.868,763937.581,61.36427964902349,12.740714285714288
2020-05-10,210.32,210.36,177.89,187.52,3056317.482,620956,1463682.758,1592634.724,44.492464539007095,14.508571428571432
2020-05-11,187.48,193.44,175.5,185.69,2311029.197,527835,1136163.531,1174865.6660000002,44.13057814904374,15.11214285714286
2020-05-12,185.68,192.31,185.4,189.64,1261058.639,340517,632008.189,629050.45,46.484663223358275,15.21714285714286
2020-05-13,189.64,200.95,187.64,199.54,1373737.58,346257,712840.19,660897.3900000001,40.67539144659967,14.511428571428576
2020-05-14,199.53,205.95,195.56,203.13,1892551.091,476240,935640.693,956910.398,48.066090874953055,13.425000000000002
2020-05-15,203.1,203.99,191.21,194.71,1377796.956,419743,643566.319,734230.637,39.36338233507472,13.525714285714288
2020-05-16,194.72,203.46,193.2,200.39,1100996.922,379947,569153.844,531843.078,42.113198793783326,13.895714285714291
2020-05-17,200.4,210.16,199.5,206.93,1067367.779,376453,565182.993,502184.7860000001,48.298016230838606,13.597142857142861
2020-05-18,206.9,217.2,206.9,214.83,1527493.953,486047,750914.407,776579.546,54.33618843683085,13.209285714285716
2020-05-19,214.83,215.99,209.32,214.7,1209630.47,478427,600605.572,609024.8979999999,55.04935459377373,12.908571428571431
2020-05-20,214.69,215.85,206.02,209.96,1322809.976,450724,616491.938,706318.0380000001,56.01545253863135,12.675714285714287
2020-05-21,209.99,211.69,191.61,198.68,1812327.033,478043,858529.284,953797.7490000001,42.34975758259105,12.717857142857142
2020-05-22,198.69,209.22,195.95,207.28,1415586.292,378567,750982.753,664603.5389999999,47.829240493213135,12.955714285714285
2020-05-23,207.31,211.2,204.47,206.51,1093535.486,306675,554105.626,539429.86,48.023304203079476,12.971428571428572
2020-05-24,206.46,210.54,199.24,199.7,1534431.164,450498,750301.676,784129.4880000001,57.59920139755427,11.459285714285711
