datetime,open,high,low,close,volume,trades,taker_buy,taker_sell,RSI,ATR
2020-03-17,5027.11,5529.98,4913.49,5307.38,429908.098,1054231,232442.76,197465.338,24.792294255394225,886.0571428571429
2020-03-18,5306.42,5435.0,4982.75,5389.64,402005.703,915737,211992.384,190013.319,25.713564468550075,905.1714285714287
2020-03-19,5389.94,6400.0,5246.5,6159.6,499391.19,1105378,265398.098,233993.092,30.37451345428194,957.827142857143
2020-03-20,6159.41,6911.0,5650.0,6203.77,571898.016,1274738,293613.556,278284.45999999996,30.067232208451088,1034.6407142857145
2020-03-21,6204.47,6457.17,5854.01,6183.69,387679.649,986672,209288.231,178391.41799999998,31.002785008282217,1052.4378571428572
2020-03-22,6183.84,6408.91,5730.35,5810.17,391002.795,1072425,206652.155,184350.63999999998,33.26257659679628,1036.6200000000001
2020-03-23,5810.3,6619.9,5670.0,6463.84,489746.087,1193611,257236.824,232509.263,39.80902196983053,1065.3914285714286
2020-03-24,6463.21,6840.0,6369.0,6741.33,437968.553,1114257,220131.441,217837.11200000002,42.236238362716655,1068.797857142857
2020-03-25,6740.86,6960.71,6436.26,6673.41,400684.542,1046097,210095.392,190589.15000000002,41.53764436404894,1078.0649999999998
2020-03-26,6673.57,6777.5,6500.0,6733.76,281245.628,808889,144932.277,136313.35100000002,72.57754937774752,839.1721428571428
2020-03-27,6733.76,6840.0,6230.0,6353.64,258213.519,741333,128814.892,129398.627,59.95329430180317,714.9442857142857
2020-03-28,6353.64,6354.74,6004.0,6230.95,341944.185,1008455,179087.046,162857.139,64.55569783731721,697.2528571428571
2020-03-29,6231.81,6260.0,5857.6,5876.27,251335.919,695647,129308.418,122027.50099999999,56.79415777056839,664.1849999999998
2020-03-30,5876.27,6606.15,5850.0,6391.08,387321.998,1071219,206399.459,180922.53900000002,67.04814581647031,650.5071428571426
2020-03-31,6389.52,6516.63,6320.0,6407.1,262522.644,790788,135500.437,127022.20699999997,64.7110285894685,620.5171428571427
2020-04-01,6407.1,6693.0,6140.0,6641.51,390529.602,1158799,205706.298,184823.304,66.09132906071893,627.7135714285713
2020-04-02,6641.22,7290.0,6542.73,6791.63,531321.428,1382876,275029.952,256291.47599999997,59.663919511934054,598.6971428571427
2020-04-03,6791.65,7049.11,6600.0,6729.8,411944.927,1074346,213227.061,198717.86600000004,57.99994525064558,540.7049999999998
2020-04-04,6729.8,7020.0,6629.99,6851.1,319849.757,918658,168633.54,151216.21699999998,59.8469133325268,525.4799999999998
2020-04-05,6851.4,6893.44,6668.02,6768.9,239224.508,698862,124679.648,114544.86,65.47531806780066,493.112857142857
2020-04-06,6768.9,7370.0,6760.0,7325.73,461331.013,1279153,245413.283,215917.72999999998,64.36114730552491,468.8342857142856
2020-04-07,7325.73,7457.0,7070.43,7192.9,419572.04,1075255,209708.684,209863.35599999997,57.90533277779917,462.8035714285713
2020-04-08,7192.9,7417.83,7145.14,7357.66,332599.575,1007080,169892.335,162707.24000000002,61.58587175536328,444.82071428571413
2020-04-09,7357.15,7365.69,7105.98,7278.65,293638.581,844238,148199.882,145438.699,59.168262322444725,443.5499999999999
2020-04-10,7278.83,7290.0,6741.0,6857.82,440148.453,1366733,211454.736,228693.71699999998,58.368632814574795,439.19285714285706
2020-04-11,6858.0,6944.28,6757.29,6874.18,224157.844,703329,118780.248,105377.596,61.06731268861903,427.4964285714285
2020-04-12,6874.17,7173.98,6775.66,6900.52,321594.822,960439,165602.5,155992.322,69.86790293484374,427.2049999999999
2020-04-13,6900.19,6900.99,6558.0,6834.0,421954.773,1257602,216013.226,205941.547,60.400308073787414,397.6935714285714
2020-04-14,6834.01,6975.6,6751.0,6864.11,280445.427,1002761,144042.067,136403.36000000002,60.660617229233225,399.69142857142845
2020-04-15,6864.11,6929.0,6602.59,6616.89,281136.689,978500,140357.102,140779.587,49.42910409690854,383.50642857142844
2020-04-16,6616.88,7190.92,6465.33,7098.15,559868.603,1570129,297526.011,262342.592,56.161453726782966,381.957857142857
2020-04-17,7098.15,7140.0,6981.0,7022.44,277339.601,815405,140468.709,136870.89200000002,55.84980489989125,361.2357142857142
2020-04-18,7022.0,7290.0,7008.11,7242.42,225807.171,665801,119681.739,106125.432,57.52550039231372,353.51285714285706
2020-04-19,7242.49,7258.42,7055.0,7118.03,216975.114,687566,107002.397,109972.717,56.606929962341276,351.94142857142845
2020-04-20,7118.04,7208.55,6735.95,6825.29,445104.981,1327875,221767.063,223337.91800000003,39.477977847489136,342.12714285714276
2020-04-21,6825.28,6940.0,6759.16,6838.0,288024.528,927606,149431.948,138592.58,42.141066635960215,327.4321428571428
2020-04-22,6838.0,7154.9,6812.57,7120.06,306482.163,926951,164226.935,142255.228,44.99840016166789,332.4064285714286
